Incident energy , σ(E)
4050000.0 , 1.8581
4053000.0 , 1.8545
4060000.0 , 1.8459
4070000.0 , 1.835
4080000.0 , 1.8255
4090000.0 , 1.818
4100000.0 , 1.8126
4110000.0 , 1.8098
4120000.0 , 1.8103
4130000.0 , 1.8145
4140000.0 , 1.8233
4150000.0 , 1.8372
4160000.0 , 1.8572
4170000.0 , 1.8839
4180000.0 , 1.917499
4190000.0 , 1.957899
4200000.0 , 2.004299
4210000.0 , 2.054899
4220000.0 , 2.106599
4230000.0 , 2.155899
4240000.0 , 2.198799
4250000.0 , 2.231899
4260000.0 , 2.252799
4270000.0 , 2.260899
4280000.0 , 2.256799
4290000.0 , 2.242199
4300000.0 , 2.219499
4310000.0 , 2.190899
4320000.0 , 2.158499
4330000.0 , 2.123998
4340000.0 , 2.088598
4350000.0 , 2.053398
4360000.0 , 2.018898
4370000.0 , 1.985398
4380000.0 , 1.953298
4390000.0 , 1.922598
4400000.0 , 1.893298
4420000.0 , 1.838998
4440000.0 , 1.789898
4460000.0 , 1.745398
4480000.0 , 1.704898
4500000.0 , 1.667697
4520000.0 , 1.633297
4540000.0 , 1.601497
4553000.0 , 1.582197
4560000.0 , 1.571697
4580000.0 , 1.543797
4600000.0 , 1.517497
4620000.0 , 1.492496
4640000.0 , 1.468796
4660000.0 , 1.446196
4680000.0 , 1.424496
4700000.0 , 1.403596
4720000.0 , 1.383396
4740000.0 , 1.363895
4760000.0 , 1.344795
4780000.0 , 1.326195
4800000.0 , 1.307795
4810000.0 , 1.298595
4812000.0 , 1.296695
4812089.0 , 1.296595
4820000.0 , 1.289876
4850000.0 , 1.270495
4899900.0 , 1.251794
4900000.0 , 1.251794
4919400.0 , 1.275094
4920000.0 , 1.279494
4930000.0 , 1.352594
4934500.0 , 1.385194
4935500.0 , 1.763393
4936700.0 , 2.011594
4938500.0 , 1.985894
4939500.0 , 1.782794
4940000.0 , 1.739694
4943200.0 , 1.463894
4948100.0 , 1.325594
4950000.0 , 1.312394
4954600.0 , 1.280594
4958400.0 , 1.259293
4980000.0 , 1.223593
4990000.0 , 1.203393
5000000.0 , 1.183193
5001000.0 , 1.195393
5030000.0 , 1.177293
5053000.0 , 1.172493
5100000.0 , 1.151193
5120000.0 , 1.112493
5150000.0 , 1.135693
5180000.0 , 1.124692
5200000.0 , 1.107792
5230000.0 , 1.098193
5280000.0 , 1.064892
5300000.0 , 1.058092
5330000.0 , 1.045492
5335000.0 , 1.079592
5340000.0 , 1.027092
5360000.0 , 1.578292
5362000.0 , 1.825492
5370000.0 , 1.992292
5371000.0 , 1.971592
5378000.0 , 1.757692
5380000.0 , 1.679592
5390000.0 , 1.462692
5400000.0 , 1.327692
5410000.0 , 1.261091
5420000.0 , 1.227791
5430000.0 , 1.198991
5440000.0 , 1.190991
5460000.0 , 1.145691
5474740.0 , 1.135853
5500000.0 , 1.118991
5550000.0 , 1.101191
5553000.0 , 1.110891
5600000.0 , 1.088791
5650000.0 , 1.07919
5700000.0 , 1.06819
5800000.0 , 1.078789
5900000.0 , 1.079689
6000000.0 , 1.097488
6050000.0 , 1.104088
6053000.0 , 1.107988
6125000.0 , 1.133187
6160000.0 , 1.162287
6174000.0 , 1.189386
6180000.0 , 1.195986
6181200.0 , 1.197886
6181241.0 , 1.197951
6190000.0 , 1.211886
6200000.0 , 1.227786
6210000.0 , 1.274485
6220000.0 , 1.293186
6230000.0 , 1.345086
6240000.0 , 1.428886
6250000.0 , 1.503185
6285000.0 , 2.415385
6295000.0 , 2.710685
6303000.0 , 2.598985
6310000.0 , 2.360385
6320000.0 , 1.935084
6330000.0 , 1.703084
6340000.0 , 1.520584
6350000.0 , 1.481884
6360000.0 , 1.600884
6370000.0 , 1.406384
6390000.0 , 1.178384
6400000.0 , 1.154883
6410000.0 , 1.117683
6420000.0 , 1.089983
6430000.0 , 1.102883
6440000.0 , 1.079583
6450000.0 , 1.079783
6470000.0 , 1.060183
6490000.0 , 1.057582
6510000.0 , 1.037282
6540000.0 , 0.9720818
6553000.0 , 0.8956516
6558080.0 , 0.861855
6560000.0 , 0.8490815
6570000.0 , 0.7694413
6580000.0 , 0.7322213
6590000.0 , 0.7432111
6600000.0 , 0.7378109
6620000.0 , 0.7818406
6640000.0 , 0.7638103
6658000.0 , 0.93583
6665000.0 , 0.8630899
6670000.0 , 0.8490199
6680000.0 , 0.8427597
6700000.0 , 0.8365495
6750000.0 , 0.8158088
6810000.0 , 0.7978879
6920000.0 , 0.7698765
7000000.0 , 0.7449554
7053000.0 , 0.7490647
7100000.0 , 0.7487835
7140000.0 , 0.7680625
7180000.0 , 0.7976015
7200000.0 , 0.844631
7220000.0 , 0.8775805
7225000.0 , 0.8878304
7250000.0 , 0.9766898
7270000.0 , 1.069069
7280000.0 , 1.138669
7340000.0 , 1.644468
7350000.0 , 1.756167
7360000.0 , 1.755467
7370000.0 , 1.808567
7400000.0 , 1.781366
7420000.0 , 1.770766
7470000.0 , 1.755565
7529000.0 , 1.753963
7542000.0 , 1.734563
7553000.0 , 1.725263
7594000.0 , 1.704063
7620000.0 , 1.700962
7641410.0 , 1.716306
7650000.0 , 1.722463
7667000.0 , 1.782362
7680000.0 , 1.808563
7698000.0 , 1.927363
7700000.0 , 1.932363
7725000.0 , 2.225263
7745000.0 , 2.425763
7750000.0 , 2.392663
7770000.0 , 2.275063
7789000.0 , 2.143163
7810000.0 , 2.053562
7819000.0 , 2.058863
7860000.0 , 2.001662
7886400.0 , 1.970563
7886448.0 , 1.969909
7888000.0 , 1.948765
7897000.0 , 1.945667
7930000.0 , 1.912864
7936000.0 , 1.891363
8000000.0 , 1.852762
8005000.0 , 1.86376
8010000.0 , 1.816367
8014000.0 , 1.854863
8044000.0 , 1.842966
8053000.0 , 1.882659
8079000.0 , 1.885067
8080000.0 , 1.875858
8100000.0 , 1.885867
8101000.0 , 1.903859
8105000.0 , 1.888365
8109000.0 , 1.867361
8120000.0 , 1.850066
8131000.0 , 1.813862
8138000.0 , 1.798462
8160000.0 , 1.714964
8166000.0 , 1.669763
8200000.0 , 1.516862
8210000.0 , 1.471067
8218000.0 , 1.452768
8240000.0 , 1.39996
8280000.0 , 1.299568
8295800.0 , 1.264061
8296200.0 , 1.258862
8296218.0 , 1.258843
8320000.0 , 1.23417
8330000.0 , 1.213361
8391000.0 , 1.146768
8400000.0 , 1.136962
8426000.0 , 1.135568
8448000.0 , 1.118466
