E	cs_tot	cs_el	cs_inel	cs_h_tot	cs_h_el	cs_h_inel	cs_c_tot	cs_c_el	cs_c_inel
1100000	64.3953638	64.39482120000001	0.0005425999999886244	4.14906158	4.14902757	3.4009999999362606e-05	2.544972	2.5449495	2.250000000003638e-05
1200000	61.242271	61.2417329	0.0005380999999999858	3.9458482	3.94581419	3.4009999999806695e-05	2.420421	2.4203989999999997	2.200000000041058e-05
1300000	58.2685325	58.2679945	0.0005379999999988172	3.75188435	3.75185035	3.400000000031156e-05	2.3055209999999997	2.305499	2.19999999995224e-05
1400000	55.5051996	55.504657099999996	0.0005425000000016666	3.57104151	3.57100751	3.400000000031156e-05	2.1994205	2.199398	2.250000000003638e-05
1600000	52.0920676	52.0915296	0.0005379999999988172	3.39947011	3.39943611	3.400000000031156e-05	2.0108185	2.0107965	2.199999999996649e-05
1700000	49.47823029999999	49.4776893	0.0005409999999912429	3.22751683	3.22748283	3.399999999986747e-05	1.9114513333333332	1.911429	2.2333333333124372e-05
1900000	46.8056231	46.8050851	0.0005379999999988172	3.07650701	3.07647301	3.399999999986747e-05	1.7822836666666666	1.7822616666666669	2.1999999999744446e-05
2000000	44.6909209	44.6903784	0.0005425000000016666	2.92445134	2.92441734	3.399999999986747e-05	1.7162675	1.716245	2.250000000003638e-05
2200000	43.56620237142857	43.56565497142857	0.0005473999999949797	2.76572103	2.76568609	3.4939999999927807e-05	1.7676657857142855	1.767643785714286	2.19999999995224e-05
2400000	40.5482716	40.5477236	0.0005480000000019913	2.6250391	2.6250041	3.500000000000725e-05	1.5886534	1.5886314	2.2000000000188535e-05
2700000	40.0200038	40.0194558	0.0005479999999948859	2.49573266	2.49569766	3.500000000000725e-05	1.6736307999999998	1.6736088000000002	2.19999999995224e-05
2900000	44.38701685294118	44.386466252941176	0.0005506000000039535	2.36436035	2.36432509	3.526000000020346e-05	2.3048237058823533	2.3048017058823533	2.199999999996649e-05
3300000	41.033556	41.032998	0.00055799999999806	2.19032802	2.19029202	3.6000000000147026e-05	2.1255862	2.1255642000000003	2.19999999995224e-05
3600000	44.47053759999999	44.469979499999994	0.0005580999999992287	2.07341986	2.07338385	3.601000000008625e-05	2.6373709999999995	2.637349	2.19999999995224e-05
3900000	39.6507089	39.6501509	0.00055799999999806	1.96202909	1.96199309	3.599999999992498e-05	2.225602	2.22558	2.199999999996649e-05
4300000	37.7345673	37.7340093	0.0005580000000051655	1.81459863	1.81456263	3.6000000000147026e-05	2.1765090000000002	2.1764869999999994	2.200000000085467e-05
4700000	30.381676	30.381118	0.00055799999999806	1.71526102	1.71522502	3.599999999992498e-05	1.4698961999999998	1.4698742	2.1999999999744446e-05
5300000	25.698546200000003	24.858513199999997	0.8400330000000054	1.58859152	1.58855552	3.599999999992498e-05	1.0902923333333334	0.9969953333333331	0.0932970000000003
5700000	24.7999274	23.59737035	1.202557050000003	1.50440129	1.50436529	3.599999999992498e-05	1.0839905	0.9504130500000001	0.13357745
6200000	24.700520271428573	22.46205444285714	2.2384658285714316	1.40437887	1.40434286	3.6009999999864206e-05	1.1840812857142857	0.9354028714285713	0.24867841428571447
6700000	20.70623127142857	18.982453785714284	1.7237774857142867	1.32823096	1.32819596	3.500000000000725e-05	0.8248801857142859	0.6333882428571428	0.1914919428571431
7300000	21.07580355	19.04008745	2.0357160999999984	1.2384099	1.23837488	3.50199999998857e-05	0.96574495	0.7395931833333332	0.2261517666666668
7800000	31.821370299999998	27.8953192	3.9260510999999987	1.17299533	1.17296077	3.45600000000168e-05	2.2323796666666667	1.7961901666666666	0.4361895
8400000	21.7535678	18.4432908	3.3102769999999992	1.09706708	1.09703307	3.401000000002874e-05	1.1980996666666666	0.8303289	0.3677707666666665
9000000	20.3168971	16.0790727	4.237824399999997	1.03529071	1.03525764	3.30699999999684e-05	1.1071099999999998	0.6362773666666667	0.47083263333333314
9700000	20.77082361	15.883974890000001	4.88684872	0.974603361	0.974570459	3.290200000005683e-05	1.2249766666666666	0.6820300333333335	0.5429466333333332
10100000	19.808173540000002	15.24119384	4.566979700000003	0.943032454	0.942999854	3.2600000000049256e-05	1.1530943333333334	0.6456883666666666	0.5074059666666668
10200000	19.39185525	15.10540083	4.286454419999998	0.932714625	0.932682123	3.250200000004533e-05	1.118301	0.6420644	0.4762366
10300000	19.22563952	14.91965263	4.305986890000002	0.921050252	0.921017863	3.238900000002154e-05	1.112793	0.634386	0.4784069999999999
10400000	19.29631123	14.86087995	4.435431280000001	0.917448373	0.91741602	3.235300000004049e-05	1.1246475	0.63185775	0.49278975
