Incident energy , σ(E)
6240000.0 , 1.16225
6250000.0 , 1.237489
6285000.0 , 2.104878
6295000.0 , 2.382617
6303000.0 , 2.263269
6310000.0 , 2.011527
6320000.0 , 1.596266
6330000.0 , 1.368506
6340000.0 , 1.192705
6350000.0 , 1.146304
6360000.0 , 1.224303
6370000.0 , 1.066002
6390000.0 , 0.8893001
6400000.0 , 0.8725991
6410000.0 , 0.8473981
6420000.0 , 0.8254972
6430000.0 , 0.8413962
6440000.0 , 0.8276952
6450000.0 , 0.8336942
6470000.0 , 0.8280922
6490000.0 , 0.8303902
6510000.0 , 0.8043883
6540000.0 , 0.7057853
6553000.0 , 0.631754
6558080.0 , 0.6020935
6560000.0 , 0.5908833
6570000.0 , 0.5304422
6580000.0 , 0.5013212
6590000.0 , 0.5050101
6600000.0 , 0.514009
6620000.0 , 0.5769369
6640000.0 , 0.5919048
6658000.0 , 0.7369228
6665000.0 , 0.6824821
6670000.0 , 0.6701116
6680000.0 , 0.6613505
6700000.0 , 0.6555384
6750000.0 , 0.6499931
6810000.0 , 0.6457667
6920000.0 , 0.606045
7000000.0 , 0.5736164
7053000.0 , 0.5726208
7100000.0 , 0.5691353
7140000.0 , 0.5828107
7180000.0 , 0.602546
7200000.0 , 0.6398751
7220000.0 , 0.6678271
7225000.0 , 0.6763279
7250000.0 , 0.7467458
7270000.0 , 0.8226378
7280000.0 , 0.8841454
7340000.0 , 1.332045
7350000.0 , 1.429922
7360000.0 , 1.422168
7370000.0 , 1.46397
7400000.0 , 1.413788
7420000.0 , 1.397957
7470000.0 , 1.37137
7529000.0 , 1.378162
7542000.0 , 1.363398
7553000.0 , 1.355141
7594000.0 , 1.337997
7620000.0 , 1.326286
7641410.0 , 1.333954
7650000.0 , 1.337031
7667000.0 , 1.390861
7680000.0 , 1.414839
7698000.0 , 1.525053
7700000.0 , 1.529955
7725000.0 , 1.798866
7745000.0 , 1.987272
7750000.0 , 1.954229
7770000.0 , 1.823504
7789000.0 , 1.683315
7810000.0 , 1.580566
7819000.0 , 1.582205
7860000.0 , 1.52173
7886400.0 , 1.492688
7886448.0 , 1.492139
7888000.0 , 1.474376
7897000.0 , 1.471598
7930000.0 , 1.431961
7936000.0 , 1.409819
8000000.0 , 1.350856
8005000.0 , 1.354554
8010000.0 , 1.30527
8014000.0 , 1.334019
8044000.0 , 1.297253
8053000.0 , 1.330648
8079000.0 , 1.322818
8080000.0 , 1.314708
8100000.0 , 1.317188
8101000.0 , 1.331878
8105000.0 , 1.318278
8109000.0 , 1.299968
8120000.0 , 1.281957
8131000.0 , 1.248037
8138000.0 , 1.233027
8160000.0 , 1.156197
8166000.0 , 1.115987
8200000.0 , 0.9730368
8210000.0 , 0.9490267
8218000.0 , 0.9418167
8240000.0 , 0.9209765
8280000.0 , 0.8771261
8295800.0 , 0.860696
8296200.0 , 0.856596
8296218.0 , 0.8565918
8320000.0 , 0.8509958
8330000.0 , 0.8374157
8391000.0 , 0.8025752
8400000.0 , 0.7975151
8426000.0 , 0.8001749
8448000.0 , 0.7856947
8450000.0 , 0.7715646
8480000.0 , 0.7762444
8499500.0 , 0.7571142
8500000.0 , 0.7491042
8520000.0 , 0.757164
8553000.0 , 0.7394138
8600000.0 , 0.7552142
8611000.0 , 0.7563343
8664000.0 , 0.7480348
8700000.0 , 0.7451351
8708000.0 , 0.7371952
8724740.0 , 0.7296185
8750000.0 , 0.7181856
8768000.0 , 0.7160857
8800000.0 , 0.706846
8833000.0 , 0.6889963
8850000.0 , 0.6772065
8885000.0 , 0.6683168
8920000.0 , 0.6382271
8940000.0 , 0.6376873
8980000.0 , 0.6329177
9000000.0 , 0.6306779
9005000.0 , 0.6443879
9020000.0 , 0.6425181
9030000.0 , 0.6504482
9045000.0 , 0.6536783
9053000.0 , 0.6692384
9067000.0 , 0.6683888
9080000.0 , 0.6856592
9149000.0 , 0.7233312
9163000.0 , 0.7367917
9180000.0 , 0.7352822
9219000.0 , 0.7314933
9250000.0 , 0.7246442
9254000.0 , 0.7333744
9300000.0 , 0.7169557
9360000.0 , 0.6995975
9400000.0 , 0.6813887
9450000.0 , 0.6715002
9500000.0 , 0.6693117
9522000.0 , 0.6697323
9553000.0 , 0.6644933
9560000.0 , 0.6691734
9590000.0 , 0.6710539
9600000.0 , 0.6714841
9630000.0 , 0.6801646
9640000.0 , 0.6874948
9678000.0 , 0.6856355
9680000.0 , 0.6844055
9692000.0 , 0.6829957
9700000.0 , 0.6854558
9726000.0 , 0.6703063
9740000.0 , 0.6762665
9750000.0 , 0.6695867
9800000.0 , 0.6845276
9808080.0 , 0.6842353
9821000.0 , 0.683768
9830000.0 , 0.6863081
9868000.0 , 0.6787488
9900000.0 , 0.6717994
9917000.0 , 0.6742096
9921000.0 , 0.6675397
1.0E7 , 0.6567711
1.005E7 , 0.643412
1.0053E7 , 0.636882
1.017E7 , 0.6420644
1.025E7 , 0.634386
1.03E7 , 0.628637
1.0372E7 , 0.6350785
1.04E7 , 0.6433191
1.0448E7 , 0.66502
1.044806E7 , 0.6650462
1.0478E7 , 0.6781307
1.05E7 , 0.6909111
1.0506E7 , 0.6909012
1.0536E7 , 0.7017418
1.055E7 , 0.6982821
1.0553E7 , 0.7084822
1.062E7 , 0.7254834
1.069E7 , 0.7508846
1.07E7 , 0.7526048
1.075E7 , 0.7861757
1.08E7 , 0.8128466
1.083E7 , 0.8325971
1.08914E7 , 0.8683857
1.09E7 , 0.8733984
1.094E7 , 0.8874491
1.1E7 , 0.8621401
1.1004E7 , 0.8562302
1.1053E7 , 0.8669211
1.1096E7 , 0.8635915
1.11E7 , 0.8685816
1.1166E7 , 0.8852923
1.117E7 , 0.8868723
1.125E7 , 0.8755831
1.13E7 , 0.8730537
1.14E7 , 0.8727947
1.15E7 , 0.8644358
1.1553E7 , 0.8514563
1.1708E7 , 0.8384571
1.175E7 , 0.8534774
1.1751E7 , 0.8485974
1.18E7 , 0.8577876
1.1828E7 , 0.8700678
1.19E7 , 0.9048182
1.1909E7 , 0.9008382
1.1917E7 , 0.9126283
1.19747E7 , 0.9034661
1.2E7 , 0.8994487
1.205E7 , 0.909919
1.2053E7 , 0.913379
1.2088E7 , 0.9103387
1.21E7 , 0.9109886
1.2196E7 , 0.8718877
1.2224E7 , 0.8650374
1.225E7 , 0.8612072
1.23E7 , 0.8484767
1.24E7 , 0.8392258
1.25E7 , 0.8560648
1.2553E7 , 0.8641743
1.2599E7 , 0.8697535
1.27E7 , 0.8872515
1.2738E7 , 0.8895008
1.2792E7 , 0.9067198
1.29E7 , 0.9194677
1.299E7 , 0.943646
1.3E7 , 0.9419758
1.3053E7 , 0.9368348
1.30581E7 , 0.9367467
1.31E7 , 0.936023
1.312E7 , 0.9356122
1.325E7 , 0.9248772
1.328E7 , 0.9145161
1.33E7 , 0.9156053
1.35E7 , 0.9052876
1.35208E7 , 0.907788
1.354E7 , 0.9100961
1.3553E7 , 0.9094356
1.3587E7 , 0.909454
1.3646E7 , 0.8955912
1.37E7 , 0.8891086
1.3767E7 , 0.8808754
1.376742E7 , 0.8807162
1.3822E7 , 0.8600328
1.383E7 , 0.8597924
1.3965E7 , 0.841346
1.4E7 , 0.8192143
1.4053E7 , 0.8249418
1.41414E7 , 0.8294061
1.4182E7 , 0.8314564
1.425E7 , 0.8372635
1.4364E7 , 0.8302987
1.4419E7 , 0.8243664
1.4472E7 , 0.8378942
1.45E7 , 0.8434431
1.4553E7 , 0.8538047
1.45644E7 , 0.8545005
1.4566E7 , 0.8545981
1.4653E7 , 0.8801097
1.4694E7 , 0.8945456
1.475E7 , 0.8989307
1.4767E7 , 0.8973459
1.4807E7 , 0.9021438
1.4812E7 , 0.9039936
1.4837E7 , 0.9075423
1.4863E7 , 0.911329
1.4887E7 , 0.9133517
1.4888E7 , 0.9133777
1.4892E7 , 0.9190995
1.4906E7 , 0.9213208
1.4909E7 , 0.9219146
1.4927E7 , 0.9198577
1.4954E7 , 0.9193623
1.4962E7 , 0.9188059
1.4996E7 , 0.9230262
1.5E7 , 0.917548
1.5006E7 , 0.9194399
1.5045E7 , 0.9285723
1.5053E7 , 0.9321515
1.5093E7 , 0.9415881
1.52247E7 , 0.9562263
1.5248E7 , 0.9588161
1.5263E7 , 0.958981
1.52634E7 , 0.9590381
1.5448E7 , 0.9853929
1.5477E7 , 0.9866832
1.55E7 , 0.9888609
1.5553E7 , 0.993887
1.5731E7 , 1.006293
1.5966E7 , 1.025478
1.597E7 , 1.031307
1.599E7 , 1.028462
1.6E7 , 1.033794
1.6053E7 , 1.018894
1.6068E7 , 1.016618
1.6256E7 , 0.9836825
1.63081E7 , 0.9673
1.6347E7 , 0.9550681
1.634745E7 , 0.9550568
1.6443E7 , 0.9526551
1.65E7 , 0.9489244
1.6532E7 , 0.9469205
1.6553E7 , 0.9429946
1.6695E7 , 0.9195066
1.682E7 , 0.9085254
1.6824E7 , 0.9073067
1.6974E7 , 0.8965813
1.7E7 , 0.8966591
1.7053E7 , 0.8967873
1.7074E7 , 0.899245
1.7138E7 , 0.8872509
1.7298E7 , 0.8709475
1.729816E7 , 0.870936
1.73E7 , 0.8708043
1.7301E7 , 0.8852461
1.73914E7 , 0.8787233
1.7431E7 , 0.8758659
1.74315E7 , 0.8758306
1.7467E7 , 0.8733252
1.75E7 , 0.8759863
1.7553E7 , 0.8803935
1.7616E7 , 0.8873125
1.7687E7 , 0.8896514
1.79E7 , 0.9059481
1.7901E7 , 0.908697
1.8E7 , 0.9175296
1.8053E7 , 0.9295115
1.8087E7 , 0.9234012
1.8158E7 , 0.9357982
1.8273E7 , 0.9289137
1.846E7 , 0.922802
1.84747E7 , 0.9255585
1.85E7 , 0.9303026
1.8516E7 , 0.9333388
1.8553E7 , 0.9375123
1.8632E7 , 0.9463497
1.87E7 , 0.9528459
1.8833E7 , 0.956963
1.9E7 , 0.969028
1.903E7 , 0.971203
1.9034E7 , 0.9713274
1.9053E7 , 0.9731419
1.9185E7 , 0.9777384
1.9346E7 , 0.9801549
1.95E7 , 0.9810585
1.9511E7 , 0.9814346
1.9553E7 , 0.98185
1.95581E7 , 0.9815986
1.96E7 , 0.9795329
1.9661E7 , 0.9815434
1.9794E7 , 0.9857386
1.9892E7 , 0.9915297
1.999999E7 , 0.9807171
2.000001E7 , 1.016
2.029547E7 , 1.002006
2.1E7 , 0.937
2.2E7 , 0.917
2.3E7 , 0.922
2.4E7 , 0.937
2.427894E7 , 0.9341339
2.448686E7 , 0.9289493
2.5E7 , 0.918
2.6E7 , 0.9123759
2.7E7 , 0.904
2.705867E7 , 0.9031742
2.730389E7 , 0.8996533
2.8E7 , 0.8893803
2.847293E7 , 0.8825203
2.892336E7 , 0.8760924
2.9E7 , 0.8750014
3.0E7 , 0.861
3.1E7 , 0.8475646
3.2E7 , 0.8346897
3.213834E7 , 0.8329466
3.3E7 , 0.8222163
3.4E7 , 0.8100199
3.451838E7 , 0.8037855
3.5E7 , 0.798
3.509196E7 , 0.7968911
3.6E7 , 0.7852692
3.7E7 , 0.771412
3.8E7 , 0.7569679
3.9E7 , 0.7423791
4.0E7 , 0.728
4.1E7 , 0.7140548
4.2E7 , 0.7005317
4.3E7 , 0.687382
4.4E7 , 0.6745635
4.5E7 , 0.6620427
4.6E7 , 0.6497897
4.7E7 , 0.637778
4.8E7 , 0.6259875
4.9E7 , 0.6143998
5.0E7 , 0.603
5.1E7 , 0.5918521
5.2E7 , 0.5810179
5.3E7 , 0.5704819
5.4E7 , 0.5602297
5.5E7 , 0.5502482
5.6E7 , 0.540525
5.658661E7 , 0.534937
5.7E7 , 0.5310488
5.75937E7 , 0.5255354
5.8E7 , 0.521809
5.9E7 , 0.5127958
6.0E7 , 0.504
6.1E7 , 0.495432
6.2E7 , 0.4871018
6.3E7 , 0.4789999
6.4E7 , 0.4711178
6.5E7 , 0.4634471
6.6E7 , 0.4559799
6.7E7 , 0.4487085
6.8E7 , 0.441626
6.9E7 , 0.4347253
7.0E7 , 0.428
7.1E7 , 0.4214123
7.2E7 , 0.4149361
7.3E7 , 0.4085808
7.4E7 , 0.4023547
7.5E7 , 0.3962644
7.6E7 , 0.3903152
7.7E7 , 0.3845113
7.8E7 , 0.3788561
7.9E7 , 0.3733518
8.0E7 , 0.368
8.1E7 , 0.3627562
8.2E7 , 0.3575672
8.3E7 , 0.3524222
8.4E7 , 0.347312
8.5E7 , 0.3422283
8.6E7 , 0.3371643
8.7E7 , 0.3321139
8.8E7 , 0.3270724
8.9E7 , 0.3220355
9.0E7 , 0.317
9.1E7 , 0.3118312
9.2E7 , 0.3064431
9.3E7 , 0.3009011
9.4E7 , 0.2952642
9.5E7 , 0.289585
9.6E7 , 0.2839101
9.7E7 , 0.2782807
9.8E7 , 0.2727326
9.9E7 , 0.2672968
1.0E8 , 0.262
